year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2004,Virginia Tech,virginia-tech,ACC,P5,10,3,14.1,4.33,12,33
2004,Florida State,florida-state,ACC,P5,9,3,15.0,4.75,10,29
2004,Miami (FL),miami-fl,ACC,P5,9,3,18.03,7.2,7,10
2004,Virginia,virginia,ACC,P5,8,4,13.57,3.99,14,38
2004,North Carolina,north-carolina,ACC,P5,6,6,4.47,7.63,44,7
2004,Georgia Tech,georgia-tech,ACC,P5,7,5,6.41,4.25,30,35
2004,Clemson,clemson,ACC,P5,6,5,5.23,5.23,40,21
2004,Maryland,maryland,ACC,P5,5,6,3.54,4.35,48,32
2004,North Carolina State,north-carolina-state,ACC,P5,5,6,6.04,4.31,33,34
2004,Wake Forest,wake-forest,ACC,P5,4,7,1.58,2.85,57,45
2004,Duke,duke,ACC,P5,2,9,-8.04,4.23,94,36
2004,Colorado,colorado,Big 12,P5,8,5,4.96,5.81,42,17
2004,Iowa State,iowa-state,Big 12,P5,7,5,2.08,1.83,54,56
2004,Missouri,missouri,Big 12,P5,5,6,1.27,0.46,61,69
2004,Nebraska,nebraska,Big 12,P5,5,6,1.32,2.23,59,53
2004,Kansas,kansas,Big 12,P5,4,7,5.05,5.23,41,22
2004,Kansas State,kansas-state,Big 12,P5,4,7,2.04,3.4,55,41
2004,Oklahoma,oklahoma,Big 12,P5,12,1,21.23,6.85,4,11
2004,Texas,texas,Big 12,P5,11,1,19.27,5.18,6,23
2004,Texas Tech,texas-tech,Big 12,P5,8,4,12.88,6.22,15,13
2004,Texas A&M,texas-am,Big 12,P5,7,5,12.07,8.74,18,3
2004,Oklahoma State,oklahoma-state,Big 12,P5,7,5,9.64,5.72,24,18
2004,Baylor,baylor,Big 12,P5,3,8,-7.51,4.67,91,30
2004,Boston College,boston-college,Big East,P5,9,3,5.28,-2.47,38,83
2004,Pitt,pittsburgh,Big East,P5,8,4,2.96,-1.54,50,78
2004,West Virginia,west-virginia,Big East,P5,8,4,5.27,-2.65,39,86
2004,Syracuse,syracuse,Big East,P5,6,6,-0.07,1.76,70,58
2004,Connecticut,connecticut,Big East,P5,8,4,0.83,-5.17,63,95
2004,Rutgers,rutgers,Big East,P5,4,7,-8.16,-2.52,96,85
2004,Temple,temple,Big East,P5,2,9,-11.33,0.49,103,68
2004,Iowa,iowa,Big Ten,P5,10,2,14.39,5.97,11,16
2004,Michigan,michigan,Big Ten,P5,9,3,12.24,4.82,17,28
2004,Wisconsin,wisconsin,Big Ten,P5,9,3,8.69,2.35,28,48
2004,Northwestern,northwestern,Big Ten,P5,6,6,1.71,5.04,56,25
2004,Ohio State,ohio-state,Big Ten,P5,8,4,11.31,5.14,22,24
2004,Purdue,purdue,Big Ten,P5,7,5,10.93,4.02,23,37
2004,Michigan State,michigan-state,Big Ten,P5,5,7,2.3,2.3,52,51
2004,Minnesota,minnesota,Big Ten,P5,7,5,5.74,1.49,35,60
2004,Penn State,penn-state,Big Ten,P5,4,7,3.24,2.24,49,52
2004,Illinois,illinois,Big Ten,P5,3,8,-4.53,1.83,79,57
2004,Indiana,indiana,Big Ten,P5,3,8,-4.98,2.11,81,54
2004,Louisville,louisville,Conference USA,G5,11,1,17.21,-1.37,8,77
2004,Memphis,memphis,Conference USA,G5,8,4,1.28,-4.22,60,93
2004,Cincinnati,cincinnati,Conference USA,G5,7,5,2.29,-1.21,53,73
2004,Southern Mississippi,southern-mississippi,Conference USA,G5,7,5,-1.09,-1.25,72,76
2004,UAB,alabama-birmingham,Conference USA,G5,7,5,-2.15,-2.74,75,88
2004,Texas Christian,texas-christian,Conference USA,G5,5,6,-3.04,-1.22,78,74
2004,Tulane,tulane,Conference USA,G5,5,6,-8.12,-4.21,95,92
2004,South Florida,south-florida,Conference USA,G5,4,7,-7.03,-2.03,88,81
2004,Houston,houston,Conference USA,G5,3,8,-6.84,0.89,84,62
2004,Army,army,Conference USA,G5,2,9,-11.36,-1.64,104,79
2004,East Carolina,east-carolina,Conference USA,G5,2,9,-12.89,-0.07,105,71
2004,Navy,navy,FBS Independents,P5,10,2,1.2,-7.3,62,107
2004,Notre Dame,notre-dame,FBS Independents,P5,6,6,6.22,7.39,32,8
2004,Florida A&M,florida-am,FBS Independents,P5,3,8,-21.65,-12.38,117,118
2004,Miami (OH),miami-oh,Mid-American,G5,8,5,-1.93,-7.93,74,109
2004,Akron,akron,Mid-American,G5,6,5,-9.06,-7.16,98,105
2004,Marshall,marshall,Mid-American,G5,6,6,-4.74,-5.24,80,96
2004,Kent State,kent-state,Mid-American,G5,5,6,-7.53,-10.89,92,117
2004,Ohio,ohio,Mid-American,G5,4,7,-13.25,-7.88,106,108
2004,Buffalo,buffalo,Mid-American,G5,2,9,-21.95,-9.22,119,114
2004,UCF,central-florida,Mid-American,G5,0,11,-21.68,-5.14,118,94
2004,Toledo,toledo,Mid-American,G5,9,4,-1.65,-6.11,73,103
2004,Northern Illinois,northern-illinois,Mid-American,G5,9,3,0.06,-9.11,68,113
2004,Bowling Green,bowling-green-state,Mid-American,G5,9,3,5.5,-8.0,37,110
2004,Eastern Michigan,eastern-michigan,Mid-American,G5,4,7,-17.01,-9.47,113,115
2004,Central Michigan,central-michigan,Mid-American,G5,4,7,-17.07,-8.98,114,112
2004,Ball State,ball-state,Mid-American,G5,2,9,-15.3,-5.66,111,98
2004,Western Michigan,western-michigan,Mid-American,G5,1,10,-18.81,-5.63,116,97
2004,Utah,utah,Mountain West,G5_top,12,0,21.76,0.43,2,70
2004,New Mexico,new-mexico,Mountain West,G5_top,7,5,4.24,3.33,45,42
2004,BYU,brigham-young,Mountain West,G5_top,5,6,4.18,6.36,46,12
2004,Wyoming,wyoming,Mountain West,G5_top,7,5,1.56,0.56,58,67
2004,Air Force,air-force,Mountain West,G5_top,5,6,0.52,1.16,65,61
2004,Colorado State,colorado-state,Mountain West,G5_top,4,7,0.08,3.53,67,40
2004,San Diego State,san-diego-state,Mountain West,G5_top,4,7,-2.57,1.52,77,59
2004,Nevada-Las Vegas,nevada-las-vegas,Mountain West,G5_top,2,9,-8.21,2.33,97,49
2004,USC,southern-california,Pac-10,P5,13,0,26.06,8.22,1,5
2004,California,california,Pac-10,P5,10,2,21.26,6.18,3,15
2004,Arizona State,arizona-state,Pac-10,P5,9,3,15.28,9.61,9,1
2004,Oregon State,oregon-state,Pac-10,P5,7,5,11.8,8.89,20,2
2004,UCLA,ucla,Pac-10,P5,6,6,9.61,6.2,25,14
2004,Oregon,oregon,Pac-10,P5,5,6,4.6,5.42,43,19
2004,Washington State,washington-state,Pac-10,P5,5,6,2.67,5.39,51,20
2004,Stanford,stanford,Pac-10,P5,4,7,6.27,7.37,31,9
2004,Arizona,arizona,Pac-10,P5,3,8,0.37,8.74,66,4
2004,Washington,washington,Pac-10,P5,1,10,-6.27,7.64,83,6
2004,Tennessee,tennessee,SEC,P5,10,3,11.69,5.0,21,26
2004,Georgia,georgia,SEC,P5,10,2,12.66,3.33,16,43
2004,Florida,florida,SEC,P5,7,5,9.58,2.67,26,46
2004,South Carolina,south-carolina,SEC,P5,6,5,3.85,2.48,47,47
2004,Kentucky,kentucky,SEC,P5,2,9,-7.26,4.38,89,31
2004,Vanderbilt,vanderbilt,SEC,P5,2,9,-7.28,0.63,90,66
2004,Auburn,auburn,SEC,P5,13,0,19.86,1.94,5,55
2004,LSU,louisiana-state,SEC,P5,9,3,11.89,3.98,19,39
2004,Alabama,alabama,SEC,P5,6,6,5.77,0.68,34,63
2004,Arkansas,arkansas,SEC,P5,5,6,6.58,4.94,29,27
2004,Ole Miss,mississippi,SEC,P5,4,7,-2.17,2.93,76,44
2004,Mississippi State,mississippi-state,SEC,P5,3,8,-6.97,0.67,86,65
2004,North Texas,north-texas,Sun Belt,G5_top,7,5,-6.9,-6.82,85,104
2004,Troy,troy,Sun Belt,G5_top,7,5,-0.47,-5.97,71,102
2004,New Mexico State,new-mexico-state,Sun Belt,G5_top,5,6,-5.95,-3.32,82,90
2004,Louisiana-Monroe,louisiana-monroe,Sun Belt,G5_top,5,6,-13.4,-7.22,107,106
2004,Florida Atlantic,florida-atlantic,Sun Belt,G5_top,9,3,-6.99,-13.08,87,119
2004,Middle Tennessee State,middle-tennessee-state,Sun Belt,G5_top,5,6,-9.19,-8.64,99,111
2004,Arkansas State,arkansas-state,Sun Belt,G5_top,3,8,-16.05,-5.77,112,99
2004,Louisiana,louisiana-lafayette,Sun Belt,G5_top,4,7,-13.67,-9.94,108,116
2004,Utah State,utah-state,Sun Belt,G5_top,3,8,-14.55,-4.09,110,91
2004,Idaho,idaho,Sun Belt,G5_top,3,9,-17.61,-5.78,115,100
2004,Florida International,florida-international,Sun Belt,G5_top,3,7,-22.45,-15.85,120,120
2004,Boise State,boise-state,WAC,G5,11,1,14.04,-0.96,13,72
2004,UTEP,texas-el-paso,WAC,G5,8,4,5.65,-1.93,36,80
2004,Fresno State,fresno-state,WAC,G5,9,3,9.55,-2.87,27,89
2004,Louisiana Tech,louisiana-tech,WAC,G5,6,6,0.0,2.33,69,50
2004,Hawaii,hawaii,WAC,G5,8,5,0.56,-2.67,64,87
2004,Nevada,nevada,WAC,G5,5,7,-9.93,-5.85,101,101
2004,Tulsa,tulsa,WAC,G5,4,8,-7.57,-2.32,93,82
2004,SMU,southern-methodist,WAC,G5,3,8,-10.95,0.68,102,64
2004,Rice,rice,WAC,G5,3,8,-9.31,-1.22,100,75
2004,San Jose State,san-jose-state,WAC,G5,2,9,-14.39,-2.48,109,84
